SectionNumber,Topic,Details,RelevantArticle
"1.","DEFINITIONS","",""
"1.1","Personal Data","Personal Data"" means any information relating to an identified or identifiable natural person.",""
"1.2","Processing","Processing"" means any operation performed on Personal Data.",""
"1.3","Controller","Controller"" means the entity which determines the purposes and means of Processing.",""
"1.4","Processor","Processor"" means the entity which Processes Personal Data on behalf of the Controller.",""
"2.","SCOPE AND PURPOSE","",""
"2.1","Processor Instructions","The Processor shall Process Personal Data only on documented instructions from the Controller.",""
"2.2","Purpose","Processing shall be for the purposes specified in Annex A.",""
"2.3","Infringement Notification","The Processor shall inform the Controller if instructions appear to infringe data protection laws.",""
"3.","DATA PROTECTION PRINCIPLES (ARTICLE 5)","","Article 5"
"3.1","Principles Summary","Personal Data shall be:","Article 5"
"3.1(a)","Lawfulness, Fairness, Transparency","Processed lawfully, fairly and in a transparent manner.","Article 5"
"3.1(b)","Purpose Limitation","Collected for specified, explicit and legitimate purposes.","Article 5"
"3.1(c)","Data Minimisation","Adequate, relevant and limited to what is necessary.","Article 5"
"3.1(d)","Accuracy","Accurate and kept up to date.","Article 5"
"3.1(e)","Storage Limitation","Kept for no longer than necessary.","Article 5"
"3.1(f)","Integrity and Confidentiality","Processed securely with appropriate technical and organisational measures.","Article 5"
"4.","LAWFULNESS OF PROCESSING (ARTICLE 6)","","Article 6"
"4.1","Lawful Basis Confirmation","The Controller confirms that Processing has a lawful basis under Article 6:","Article 6"
"4.1(a)","Basis: Consent","Consent from the Data Subject","Article 6"
"4.1(b)","Basis: Contract","Necessary for contract performance","Article 6"
"4.1(c)","Basis: Legal Obligation","Necessary for legal compliance","Article 6"
"4.1(d)","Basis: Vital Interests","Necessary to protect vital interests","Article 6"
"4.1(e)","Basis: Public Task","Necessary for public interest tasks","Article 6"
"4.1(f)","Basis: Legitimate Interests","Necessary for legitimate interests","Article 6"
"5.","CONSENT (ARTICLE 7)","","Article 7"
"5.1","Consent Conditions","Where Processing relies on consent:","Article 7"
"5.1(a)","Valid Consent","Consent shall be freely given, specific, informed and unambiguous.","Article 7"
"5.1(b)","Withdrawal Right","Data Subjects can withdraw consent at any time.","Article 7"
"5.1(c)","Ease of Withdrawal","Withdrawal shall be as easy as giving consent.","Article 7"
"6.","SPECIAL CATEGORIES OF DATA (ARTICLE 9)","","Article 9"
"6.1","Lawful Basis","Processing of special categories requires explicit consent or other legal basis under Article 9(2).","Article 9"
"6.2","Security","Enhanced security measures apply to special category data.","Article 9"
"7.","TRANSPARENCY (ARTICLES 12-14)","","Articles 12-14"
"7.1","Form of Information","Information about Processing shall be provided in concise, transparent, intelligible form using clear language.","Articles 12-14"
"7.2","Direct Collection Info (Article 13)","When collecting directly from Data Subjects (Article 13):","Article 13"
"7.2(a)","Info: Controller Identity","Controller identity and contact details","Article 13"
"7.2(b)","Info: DPO Details","DPO contact details if applicable","Article 13"
"7.2(c)","Info: Purpose/Legal Basis","Purposes and legal basis for Processing","Article 13"
"7.2(d)","Info: Recipients","Recipients of Personal Data","Article 13"
"7.2(e)","Info: Retention","Retention periods","Article 13"
"7.2(f)","Info: Data Subject Rights","Data Subject rights (Articles 15-22)","Article 13"
"7.2(g)","Info: Right to Withdraw Consent","Right to withdraw consent","Article 13"
"7.2(h)","Info: Right to Complain","Right to lodge complaint with supervisory authority","Article 13"
"8.","DATA SUBJECT RIGHTS (ARTICLES 15-22)","","Articles 15-22"
"8.1","Processor Assistance","The Processor shall assist the Controller in responding to Data Subject requests:","Articles 15-22"
"8.1(a)","Right of access (Article 15)","Confirmation of Processing and copy of data.","Article 15"
"8.1(b)","Right to rectification (Article 16)","Correction of inaccurate data.","Article 16"
"8.1(c)","Right to erasure (Article 17)","Deletion when no longer necessary.","Article 17"
"8.1(d)","Right to restriction (Article 18)","Limiting Processing in certain circumstances.","Article 18"
"8.1(e)","Right to data portability (Article 20)","Receiving data in machine-readable format.","Article 20"
"8.1(f)","Right to object (Article 21)","Objecting to Processing on legitimate interest grounds.","Article 21"
"8.2","Response Timeframe","Requests shall be responded to within one month.",""
"9.","PROCESSOR OBLIGATIONS (ARTICLE 28)","","Article 28"
"9.1","Obligations Summary","The Processor shall:","Article 28"
"9.1(a)","Follow Instructions","Process only on documented Controller instructions.","Article 28"
"9.1(b)","Confidentiality","Ensure personnel confidentiality.","Article 28"
"9.1(c)","Security Measures","Implement appropriate security measures.","Article 28"
"9.1(d)","Sub-processing","Engage Sub-processors with Controller consent.","Article 28"
"9.1(e)","Assist (DSR)","Assist Controller with Data Subject requests.","Article 28"
"9.1(f)","Assist (Security/Breach)","Assist with security and breach obligations.","Article 28"
"9.1(g)","Data Deletion/Return","Delete or return data upon termination.","Article 28"
"9.1(h)","Demonstrate Compliance","Provide information to demonstrate compliance.","Article 28"
"10.","SUB-PROCESSORS","",""
"10.1","Authorization","The Processor shall not engage Sub-processors without prior authorization.",""
"10.2","Approved List","Approved Sub-processors are listed in Annex B.",""
"10.3","Notification of Changes","The Processor shall inform Controller of Sub-processor changes.",""
"10.4","Flow-down Obligations","Sub-processor agreements shall impose equivalent obligations.",""
"11.","INTERNATIONAL TRANSFERS (CHAPTER V)","","Chapter V"
"11.1","Transfer Requirements","Transfers outside the EEA require:","Chapter V"
"11.1(a)","Mechanism: Adequacy","Adequacy decision; or","Chapter V"
"11.1(b)","Mechanism: Safeguards","Appropriate safeguards (Standard Contractual Clauses, Binding Corporate Rules)","Chapter V"
"11.2","Applicable Safeguards","Standard Contractual Clauses apply to transfers listed in Annex B.","Chapter V"
